course_id,course_code,course_title,is_required,priority,enrollment,required_board,needs_projector,needs_lab,credits,timeslot_id,room_id,course_tags
C001,MATH 102-A,Algebra,0,2,40,any,0,0,5,T_MWF_1330_1420,R_MGH_389,service;algebra;precalculus
C002,MATH 103-A,Introduction to Elementary Functions,0,2,40,any,0,0,5,T_MWF_1330_1420,R_LOW_206,service;precalculus
C003,MATH 111-A,Algebra with Applications,1,10,240,any,1,0,5,T_MWF_0930_1020,R_GUG_220,service;algebra;applications
C004,MATH 111-B,Algebra with Applications,1,10,240,any,1,0,5,T_MWF_1230_1320,R_KNE_210,service;algebra;applications
C005,MATH 112-A,Business and Economic Calculus,0,2,90,any,1,0,5,T_TTH_1000_1120,R_OTB_014,service;calculus;optimization
C006,MATH 120-A,Precalculus,1,10,240,any,1,0,5,T_W_1500_1650,R_KNE_210,service;precalculus;calculus
C007,MATH 120-B,Precalculus,1,10,240,any,1,0,5,T_MWF_1030_1120,R_GUG_220,service;precalculus;calculus
C008,MATH 124-A,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_0930_1020,R_KNE_210,service;calculus
C009,MATH 124-B,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_TTH_1000_1120,R_GUG_220,service;calculus
C010,MATH 124-C,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1530_1620,R_KNE_210,service;calculus
C011,MATH 124-D,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MW_1430_1550,R_GUG_220,service;calculus
C012,MATH 124-E,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1030_1120,R_GUG_220,service;calculus
C013,MATH 124-F,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MW_1000_1120,R_KNE_220,service;calculus
C014,MATH 125-A,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_TTH_1000_1120,R_KNE_220,service;calculus
C015,MATH 125-B,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_MWF_0930_1020,R_GUG_220,service;calculus
C016,MATH 125-C,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_MWF_0830_0920,R_SMI_120,service;calculus
C017,MATH 126-A,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_TTH_0830_0950,R_SMI_120,service;calculus;geometry
C018,MATH 126-B,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1430_1520,R_KNE_220,service;calculus;geometry
C019,MATH 126-C,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1330_1420,R_GUG_220,service;calculus;geometry
C020,MATH 126-D,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1130_1220,R_KNE_210,service;calculus;geometry
