professor_id,timeslot_id,available,time_pref_score
P001,T_MWF_0830_0920,1,5
P001,T_MWF_0930_1020,1,4
P001,T_MWF_1030_1120,1,5
P001,T_MWF_1130_1220,1,5
P001,T_MWF_1230_1320,1,5
P001,T_MWF_1330_1420,1,4
P001,T_MWF_1430_1520,1,5
P001,T_MWF_1530_1620,1,5
P001,T_TTH_0830_0950,1,4
P001,T_TTH_1000_1120,1,4
P001,T_TTH_1130_1250,1,4
P001,T_TTH_1300_1420,1,4
P001,T_TTH_1430_1550,1,4
P001,T_TTH_1600_1720,1,2
P001,T_MW_1000_1120,1,5
P001,T_MW_1430_1550,1,3
P001,T_F_1530_1720,1,4
P001,T_W_1500_1650,1,3
P002,T_MWF_0830_0920,1,3
P002,T_MWF_0930_1020,1,3
P002,T_MWF_1030_1120,1,4
P002,T_MWF_1130_1220,1,5
P002,T_MWF_1230_1320,1,4
P002,T_MWF_1330_1420,1,3
P002,T_MWF_1430_1520,1,4
P002,T_MWF_1530_1620,1,5
P002,T_TTH_0830_0950,1,3
P002,T_TTH_1000_1120,1,4
P002,T_TTH_1130_1250,1,5
P002,T_TTH_1300_1420,1,5
P002,T_TTH_1430_1550,1,4
P002,T_TTH_1600_1720,1,2
P002,T_MW_1000_1120,1,5
P002,T_MW_1430_1550,1,4
P002,T_F_1530_1720,1,1
P002,T_W_1500_1650,1,2
P003,T_MWF_0830_0920,1,4
P003,T_MWF_0930_1020,1,4
P003,T_MWF_1030_1120,1,5
P003,T_MWF_1130_1220,1,5
P003,T_MWF_1230_1320,1,5
P003,T_MWF_1330_1420,1,5
P003,T_MWF_1430_1520,1,4
P003,T_MWF_1530_1620,1,3
P003,T_TTH_0830_0950,1,4
P003,T_TTH_1000_1120,1,5
P003,T_TTH_1130_1250,1,5
P003,T_TTH_1300_1420,1,3
P003,T_TTH_1430_1550,1,4
P003,T_TTH_1600_1720,1,1
P003,T_MW_1000_1120,1,5
P003,T_MW_1430_1550,1,4
P003,T_F_1530_1720,1,1
P003,T_W_1500_1650,1,2
P004,T_MWF_0830_0920,1,5
P004,T_MWF_0930_1020,1,4
P004,T_MWF_1030_1120,1,3
P004,T_MWF_1130_1220,1,4
P004,T_MWF_1230_1320,1,4
P004,T_MWF_1330_1420,1,3
P004,T_MWF_1430_1520,1,2
P004,T_MWF_1530_1620,1,2
P004,T_TTH_0830_0950,1,5
P004,T_TTH_1000_1120,1,5
P004,T_TTH_1130_1250,1,3
P004,T_TTH_1300_1420,1,1
P004,T_TTH_1430_1550,1,2
P004,T_TTH_1600_1720,1,1
P004,T_MW_1000_1120,1,3
P004,T_MW_1430_1550,1,3
P004,T_F_1530_1720,1,1
P004,T_W_1500_1650,1,2
P005,T_MWF_0830_0920,1,1
P005,T_MWF_0930_1020,1,3
P005,T_MWF_1030_1120,1,3
P005,T_MWF_1130_1220,1,4
P005,T_MWF_1230_1320,1,3
P005,T_MWF_1330_1420,1,5
P005,T_MWF_1430_1520,1,4
P005,T_MWF_1530_1620,1,5
P005,T_TTH_0830_0950,1,1
P005,T_TTH_1000_1120,1,4
P005,T_TTH_1130_1250,1,4
P005,T_TTH_1300_1420,1,4
P005,T_TTH_1430_1550,1,5
P005,T_TTH_1600_1720,1,3
P005,T_MW_1000_1120,1,5
P005,T_MW_1430_1550,1,5
P005,T_F_1530_1720,1,3
P005,T_W_1500_1650,1,3
P006,T_MWF_0830_0920,1,2
P006,T_MWF_0930_1020,1,3
P006,T_MWF_1030_1120,1,4
P006,T_MWF_1130_1220,1,4
P006,T_MWF_1230_1320,1,4
P006,T_MWF_1330_1420,1,5
P006,T_MWF_1430_1520,1,4
P006,T_MWF_1530_1620,1,5
P006,T_TTH_0830_0950,1,2
P006,T_TTH_1000_1120,1,3
P006,T_TTH_1130_1250,1,4
P006,T_TTH_1300_1420,1,5
P006,T_TTH_1430_1550,1,4
P006,T_TTH_1600_1720,1,2
P006,T_MW_1000_1120,1,4
P006,T_MW_1430_1550,1,5
P006,T_F_1530_1720,1,4
P006,T_W_1500_1650,1,2
P007,T_MWF_0830_0920,1,4
P007,T_MWF_0930_1020,1,2
P007,T_MWF_1030_1120,1,5
P007,T_MWF_1130_1220,1,5
P007,T_MWF_1230_1320,1,5
P007,T_MWF_1330_1420,1,3
P007,T_MWF_1430_1520,1,3
P007,T_MWF_1530_1620,1,4
P007,T_TTH_0830_0950,1,3
P007,T_TTH_1000_1120,1,5
P007,T_TTH_1130_1250,1,5
P007,T_TTH_1300_1420,1,4
P007,T_TTH_1430_1550,1,5
P007,T_TTH_1600_1720,1,2
P007,T_MW_1000_1120,1,5
P007,T_MW_1430_1550,1,4
P007,T_F_1530_1720,1,2
P007,T_W_1500_1650,1,3
P008,T_MWF_0830_0920,1,4
P008,T_MWF_0930_1020,1,4
P008,T_MWF_1030_1120,1,4
P008,T_MWF_1130_1220,1,5
P008,T_MWF_1230_1320,1,5
P008,T_MWF_1330_1420,1,4
P008,T_MWF_1430_1520,1,5
P008,T_MWF_1530_1620,1,4
P008,T_TTH_0830_0950,1,3
P008,T_TTH_1000_1120,1,4
P008,T_TTH_1130_1250,1,5
P008,T_TTH_1300_1420,1,3
P008,T_TTH_1430_1550,1,4
P008,T_TTH_1600_1720,1,3
P008,T_MW_1000_1120,1,5
P008,T_MW_1430_1550,1,5
P008,T_F_1530_1720,1,3
P008,T_W_1500_1650,1,3
P009,T_MWF_0830_0920,1,5
P009,T_MWF_0930_1020,1,3
P009,T_MWF_1030_1120,1,4
P009,T_MWF_1130_1220,1,5
P009,T_MWF_1230_1320,1,5
P009,T_MWF_1330_1420,1,3
P009,T_MWF_1430_1520,1,4
P009,T_MWF_1530_1620,1,4
P009,T_TTH_0830_0950,1,3
P009,T_TTH_1000_1120,1,4
P009,T_TTH_1130_1250,1,5
P009,T_TTH_1300_1420,1,5
P009,T_TTH_1430_1550,1,4
P009,T_TTH_1600_1720,1,4
P009,T_MW_1000_1120,1,4
P009,T_MW_1430_1550,1,5
P009,T_F_1530_1720,1,3
P009,T_W_1500_1650,1,3
P010,T_MWF_0830_0920,1,2
P010,T_MWF_0930_1020,1,2
P010,T_MWF_1030_1120,1,5
P010,T_MWF_1130_1220,1,5
P010,T_MWF_1230_1320,1,5
P010,T_MWF_1330_1420,1,3
P010,T_MWF_1430_1520,1,3
P010,T_MWF_1530_1620,1,5
P010,T_TTH_0830_0950,1,4
P010,T_TTH_1000_1120,1,4
P010,T_TTH_1130_1250,1,5
P010,T_TTH_1300_1420,1,3
P010,T_TTH_1430_1550,1,4
P010,T_TTH_1600_1720,1,2
P010,T_MW_1000_1120,1,4
P010,T_MW_1430_1550,1,4
P010,T_F_1530_1720,1,3
P010,T_W_1500_1650,1,2
P011,T_MWF_0830_0920,1,2
P011,T_MWF_0930_1020,1,2
P011,T_MWF_1030_1120,1,5
P011,T_MWF_1130_1220,1,5
P011,T_MWF_1230_1320,1,5
P011,T_MWF_1330_1420,1,5
P011,T_MWF_1430_1520,1,4
P011,T_MWF_1530_1620,1,5
P011,T_TTH_0830_0950,1,4
P011,T_TTH_1000_1120,1,5
P011,T_TTH_1130_1250,1,5
P011,T_TTH_1300_1420,1,3
P011,T_TTH_1430_1550,1,4
P011,T_TTH_1600_1720,1,2
P011,T_MW_1000_1120,1,5
P011,T_MW_1430_1550,1,5
P011,T_F_1530_1720,1,2
P011,T_W_1500_1650,1,2
P012,T_MWF_0830_0920,1,4
P012,T_MWF_0930_1020,1,4
P012,T_MWF_1030_1120,1,5
P012,T_MWF_1130_1220,1,4
P012,T_MWF_1230_1320,1,5
P012,T_MWF_1330_1420,1,4
P012,T_MWF_1430_1520,1,3
P012,T_MWF_1530_1620,1,4
P012,T_TTH_0830_0950,1,4
P012,T_TTH_1000_1120,1,5
P012,T_TTH_1130_1250,1,4
P012,T_TTH_1300_1420,1,3
P012,T_TTH_1430_1550,1,4
P012,T_TTH_1600_1720,1,2
P012,T_MW_1000_1120,1,5
P012,T_MW_1430_1550,1,5
P012,T_F_1530_1720,1,2
P012,T_W_1500_1650,1,3
P013,T_MWF_0830_0920,1,3
