professor_id,course_id,timeslot_id,room_id,total_score
P001,C001,T_MWF_1230_1320,R_MGH_389,12.00
P004,C001,T_MWF_1230_1320,R_MGH_389,14.00
P008,C001,T_MWF_1230_1320,R_MGH_389,12.00
P012,C001,T_MWF_1230_1320,R_MGH_389,13.00
P017,C001,T_MWF_1230_1320,R_MGH_389,14.00
P019,C001,T_MWF_1230_1320,R_MGH_389,13.00
P022,C001,T_MWF_1230_1320,R_MGH_389,14.00
P026,C001,T_MWF_1230_1320,R_MGH_389,14.00
P027,C001,T_MWF_1230_1320,R_MGH_389,13.00
P029,C001,T_MWF_1230_1320,R_MGH_389,15.00
P030,C001,T_MWF_1230_1320,R_MGH_389,14.00
P032,C001,T_MWF_1230_1320,R_MGH_389,12.00
P033,C001,T_MWF_1230_1320,R_MGH_389,14.00
P034,C001,T_MWF_1230_1320,R_MGH_389,15.00
P040,C001,T_MWF_1230_1320,R_MGH_389,14.00
P043,C001,T_MWF_1230_1320,R_MGH_389,14.00
P052,C001,T_MWF_1230_1320,R_MGH_389,12.00
P054,C001,T_MWF_1230_1320,R_MGH_389,15.00
P004,C002,T_MWF_0830_0920,R_LOW_206,12.00
P008,C002,T_MWF_0830_0920,R_LOW_206,14.00
P012,C002,T_MWF_0830_0920,R_LOW_206,14.00
P022,C002,T_MWF_0830_0920,R_LOW_206,11.00
P026,C002,T_MWF_0830_0920,R_LOW_206,13.00
P027,C002,T_MWF_0830_0920,R_LOW_206,15.00
P029,C002,T_MWF_0830_0920,R_LOW_206,12.00
P032,C002,T_MWF_0830_0920,R_LOW_206,13.00
P034,C002,T_MWF_0830_0920,R_LOW_206,11.00
P043,C002,T_MWF_0830_0920,R_LOW_206,13.00
P054,C002,T_MWF_0830_0920,R_LOW_206,12.00
P001,C003,T_TTH_1000_1120,R_SMI_120,17.00
P008,C003,T_TTH_1000_1120,R_SMI_120,18.00
P012,C003,T_TTH_1000_1120,R_SMI_120,18.00
P017,C003,T_TTH_1000_1120,R_SMI_120,18.00
P019,C003,T_TTH_1000_1120,R_SMI_120,17.00
P022,C003,T_TTH_1000_1120,R_SMI_120,18.00
P026,C003,T_TTH_1000_1120,R_SMI_120,17.00
P027,C003,T_TTH_1000_1120,R_SMI_120,17.00
P030,C003,T_TTH_1000_1120,R_SMI_120,18.00
P032,C003,T_TTH_1000_1120,R_SMI_120,18.00
P033,C003,T_TTH_1000_1120,R_SMI_120,16.00
P040,C003,T_TTH_1000_1120,R_SMI_120,18.00
P043,C003,T_TTH_1000_1120,R_SMI_120,18.00
P052,C003,T_TTH_1000_1120,R_SMI_120,17.00
P054,C003,T_TTH_1000_1120,R_SMI_120,18.00
P001,C004,T_TTH_1000_1120,R_KNE_220,17.00
P008,C004,T_TTH_1000_1120,R_KNE_220,18.00
P012,C004,T_TTH_1000_1120,R_KNE_220,18.00
P017,C004,T_TTH_1000_1120,R_KNE_220,18.00
P019,C004,T_TTH_1000_1120,R_KNE_220,17.00
P022,C004,T_TTH_1000_1120,R_KNE_220,18.00
P026,C004,T_TTH_1000_1120,R_KNE_220,17.00
P027,C004,T_TTH_1000_1120,R_KNE_220,17.00
P030,C004,T_TTH_1000_1120,R_KNE_220,18.00
P032,C004,T_TTH_1000_1120,R_KNE_220,18.00
P033,C004,T_TTH_1000_1120,R_KNE_220,16.00
P040,C004,T_TTH_1000_1120,R_KNE_220,18.00
P043,C004,T_TTH_1000_1120,R_KNE_220,18.00
P052,C004,T_TTH_1000_1120,R_KNE_220,17.00
P054,C004,T_TTH_1000_1120,R_KNE_220,18.00
P002,C005,T_MWF_0930_1020,R_MUE_153,11.00
P004,C005,T_MWF_0930_1020,R_MUE_153,11.00
P008,C005,T_MWF_0930_1020,R_MUE_153,14.00
P012,C005,T_MWF_0930_1020,R_MUE_153,14.00
P016,C005,T_MWF_0930_1020,R_MUE_153,12.00
P022,C005,T_MWF_0930_1020,R_MUE_153,12.00
P025,C005,T_MWF_0930_1020,R_MUE_153,12.00
P026,C005,T_MWF_0930_1020,R_MUE_153,13.00
P027,C005,T_MWF_0930_1020,R_MUE_153,13.00
P029,C005,T_MWF_0930_1020,R_MUE_153,13.00
P032,C005,T_MWF_0930_1020,R_MUE_153,14.00
P034,C005,T_MWF_0930_1020,R_MUE_153,10.00
P038,C005,T_MWF_0930_1020,R_MUE_153,11.00
P043,C005,T_MWF_0930_1020,R_MUE_153,11.00
P045,C005,T_MWF_0930_1020,R_MUE_153,12.00
P048,C005,T_MWF_0930_1020,R_MUE_153,11.00
P054,C005,T_MWF_0930_1020,R_MUE_153,12.00
P004,C006,T_MWF_1030_1120,R_SMI_120,16.00
P008,C006,T_MWF_1030_1120,R_SMI_120,16.00
P012,C006,T_MWF_1030_1120,R_SMI_120,17.00
P022,C006,T_MWF_1030_1120,R_SMI_120,18.00
P026,C006,T_MWF_1030_1120,R_SMI_120,17.00
P027,C006,T_MWF_1030_1120,R_SMI_120,17.00
P029,C006,T_MWF_1030_1120,R_SMI_120,18.00
P032,C006,T_MWF_1030_1120,R_SMI_120,17.00
P034,C006,T_MWF_1030_1120,R_SMI_120,16.00
P043,C006,T_MWF_1030_1120,R_SMI_120,18.00
P054,C006,T_MWF_1030_1120,R_SMI_120,20.00
P004,C007,T_TTH_1130_1250,R_GUG_220,16.00
P008,C007,T_TTH_1130_1250,R_GUG_220,17.00
P012,C007,T_TTH_1130_1250,R_GUG_220,16.00
P022,C007,T_TTH_1130_1250,R_GUG_220,17.00
P026,C007,T_TTH_1130_1250,R_GUG_220,17.00
P027,C007,T_TTH_1130_1250,R_GUG_220,18.00
P029,C007,T_TTH_1130_1250,R_GUG_220,18.00
P032,C007,T_TTH_1130_1250,R_GUG_220,16.00
P034,C007,T_TTH_1130_1250,R_GUG_220,17.00
P043,C007,T_TTH_1130_1250,R_GUG_220,18.00
P054,C007,T_TTH_1130_1250,R_GUG_220,20.00
P004,C008,T_MWF_0930_1020,R_KNE_210,15.00
P008,C008,T_MWF_0930_1020,R_KNE_210,18.00
P012,C008,T_MWF_0930_1020,R_KNE_210,18.00
P022,C008,T_MWF_0930_1020,R_KNE_210,16.00
P026,C008,T_MWF_0930_1020,R_KNE_210,17.00
P027,C008,T_MWF_0930_1020,R_KNE_210,17.00
P029,C008,T_MWF_0930_1020,R_KNE_210,17.00
P032,C008,T_MWF_0930_1020,R_KNE_210,18.00
P034,C008,T_MWF_0930_1020,R_KNE_210,14.00
P043,C008,T_MWF_0930_1020,R_KNE_210,15.00
P054,C008,T_MWF_0930_1020,R_KNE_210,16.00
P004,C009,T_MWF_1530_1620,R_KNE_220,17.00
P008,C009,T_MWF_1530_1620,R_KNE_220,14.00
P012,C009,T_MWF_1530_1620,R_KNE_220,15.00
P022,C009,T_MWF_1530_1620,R_KNE_220,18.00
P026,C009,T_MWF_1530_1620,R_KNE_220,14.00
P027,C009,T_MWF_1530_1620,R_KNE_220,15.00
P029,C009,T_MWF_1530_1620,R_KNE_220,16.00
P032,C009,T_MWF_1530_1620,R_KNE_220,16.00
P034,C009,T_MWF_1530_1620,R_KNE_220,18.00
P043,C009,T_MWF_1530_1620,R_KNE_220,16.00
P054,C009,T_MWF_1530_1620,R_KNE_220,19.00
P004,C010,T_MWF_0830_0920,R_GUG_220,15.00
P008,C010,T_MWF_0830_0920,R_GUG_220,18.00
P012,C010,T_MWF_0830_0920,R_GUG_220,18.00
P022,C010,T_MWF_0830_0920,R_GUG_220,15.00
P026,C010,T_MWF_0830_0920,R_GUG_220,17.00
P027,C010,T_MWF_0830_0920,R_GUG_220,18.00
P029,C010,T_MWF_0830_0920,R_GUG_220,15.00
P032,C010,T_MWF_0830_0920,R_GUG_220,17.00
P034,C010,T_MWF_0830_0920,R_GUG_220,14.00
P043,C010,T_MWF_0830_0920,R_GUG_220,17.00
P054,C010,T_MWF_0830_0920,R_GUG_220,16.00
