timeslot_id,day,start_time,end_time
T_MWF_0830_0920,MWF,08:30,09:20
T_MWF_0930_1020,MWF,09:30,10:20
T_MWF_1030_1120,MWF,10:30,11:20
T_MWF_1130_1220,MWF,11:30,12:20
T_MWF_1230_1320,MWF,12:30,13:20
T_MWF_1330_1420,MWF,13:30,14:20
T_MWF_1430_1520,MWF,14:30,15:20
T_MWF_1530_1620,MWF,15:30,16:20
T_TTH_0830_0950,TTh,08:30,09:50
T_TTH_1000_1120,TTh,10:00,11:20
T_TTH_1130_1250,TTh,11:30,12:50
T_TTH_1300_1420,TTh,13:00,14:20
T_TTH_1430_1550,TTh,14:30,15:50
T_TTH_1600_1720,TTh,16:00,17:20
T_MW_1000_1120,MW,10:00,11:20
T_MW_1430_1550,MW,14:30,15:50
T_F_1530_1720,F,15:30,17:20
T_W_1500_1650,W,15:00,16:50
