course_id,course_code,course_title,is_required,priority,enrollment,required_board,needs_projector,needs_lab,credits,timeslot_id,room_id,course_tags
C001,MATH 102-A01,Algebra,0,2,40,any,0,0,5,T_MWF_1230_1320,R_MEB_248,service;algebra;precalculus
C002,MATH 103-A01,Introduction to Elementary Functions,0,2,40,any,0,0,5,T_F_1530_1720,R_LOW_206,service;precalculus
C003,MATH 111-A01,Algebra with Applications,1,10,240,any,1,0,5,T_MWF_0830_0920,R_GUG_220,service;algebra;applications
C004,MATH 111-B01,Algebra with Applications,1,10,240,any,1,0,5,T_TTH_1300_1420,R_GUG_220,service;algebra;applications
C005,MATH 112-A01,Business and Economic Calculus,0,2,90,any,1,0,5,T_MWF_1030_1120,R_OTB_014,service;calculus;optimization
C006,MATH 120-A01,Precalculus,1,10,240,any,1,0,5,T_MWF_1030_1120,R_KNE_220,service;precalculus;calculus
C007,MATH 120-B01,Precalculus,1,10,240,any,1,0,5,T_MWF_1330_1420,R_GUG_220,service;precalculus;calculus
C008,MATH 124-A01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1330_1420,R_GUG_220,service;calculus
C009,MATH 124-B01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MW_1000_1120,R_KNE_210,service;calculus
C010,MATH 124-C01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1030_1120,R_GUG_220,service;calculus
C011,MATH 124-D01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1030_1120,R_KNE_210,service;calculus
C012,MATH 124-E01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1430_1520,R_GUG_220,service;calculus
C013,MATH 124-F01,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_TTH_1000_1120,R_KNE_210,service;calculus
C014,MATH 125-A01,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_MW_1000_1120,R_KNE_210,service;calculus
C015,MATH 125-B01,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_MWF_1230_1320,R_GUG_220,service;calculus
C016,MATH 125-C01,Calculus with Analytic Geometry II,1,10,240,any,1,0,5,T_TTH_1430_1550,R_KNE_210,service;calculus
C017,MATH 126-A01,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_0830_0920,R_KNE_220,service;calculus;geometry
C018,MATH 126-B01,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1430_1520,R_SMI_120,service;calculus;geometry
C019,MATH 126-C01,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1530_1620,R_KNE_210,service;calculus;geometry
C020,MATH 126-D01,Calculus with Analytic Geometry III,1,10,240,any,1,0,5,T_MWF_1430_1520,R_GUG_220,service;calculus;geometry
C021,MATH 134-A01,Accelerated Honors Calculus,0,2,45,any,0,0,5,T_TTH_1000_1120,R_MEB_248,calculus;honors;linear_algebra
C022,MATH 200-A01,Discrete Mathematics I,0,2,300,any,1,0,5,T_TTH_1000_1120,R_KNE_210,combinatorics;probability;number_theory
C023,MATH 207-A01,Introduction to Differential Equations,1,10,230,any,1,0,4,T_MWF_1430_1520,R_SMI_120,differential_equations;applied_math
C024,MATH 207-C01,Introduction to Differential Equations,1,10,220,any,1,0,4,T_MWF_1030_1120,R_GUG_220,differential_equations;applied_math
C025,MATH 207-D01,Introduction to Differential Equations,1,10,50,any,0,0,4,T_MWF_1430_1520,R_SMI_102,differential_equations;applied_math
C026,MATH 208-A01,Matrix Algebra with Applications,1,10,440,any,1,0,4,T_MWF_1530_1620,R_KNE_210,linear_algebra;applied_math
C027,MATH 208-B01,Matrix Algebra with Applications,1,10,440,any,1,0,4,T_MWF_1330_1420,R_KNE_210,linear_algebra;applied_math
C028,MATH 209-A01,Linear Analysis,0,2,50,any,0,0,4,T_TTH_1600_1720,R_MUE_153,differential_equations;pde;analysis
C029,MATH 224-A01,Advanced Multivariable Calculus,0,2,305,any,1,0,4,T_TTH_1130_1250,R_KNE_210,calculus;geometry;analysis
C030,MATH 224-B01,Advanced Multivariable Calculus,0,2,50,any,0,0,4,T_TTH_0830_0950,R_SMI_102,calculus;geometry;analysis
C031,MATH 300-A01,Introduction to Mathematical Reasoning,1,10,80,any,1,0,4,T_MWF_1130_1220,R_SMI_102,proofs;number_theory;combinatorics
C032,MATH 300-B01,Introduction to Mathematical Reasoning,1,10,70,any,0,0,4,T_MWF_1430_1520,R_SMI_102,proofs;number_theory;combinatorics
C033,MATH 327-A01,Introductory Real Analysis I,1,10,75,any,0,0,4,T_MWF_0930_1020,R_AND_205,analysis;real_analysis
C034,MATH 334-A01,Honors Accelerated Advanced Calculus,0,2,45,any,0,0,5,T_MWF_1230_1320,R_MEB_248,analysis;pde;complex_analysis
C035,MATH 342-A01,Art of Problem Solving,0,2,25,any,0,0,4,T_MWF_1530_1620,R_MEB_248,combinatorics;number_theory;geometry;probability
C036,MATH 381-A01,Discrete Mathematical Modeling,1,10,80,any,1,0,4,T_MWF_1230_1320,R_MUE_153,combinatorics;graph_theory;optimization
C037,MATH 394-A01,Probability I,1,10,170,any,1,0,4,T_MWF_1430_1520,R_KNE_210,probability;statistics
C038,MATH 398-B01,Special Topics: WDRP,0,2,15,any,0,0,2,T_F_1530_1720,R_PDL_C401,general_math;seminar
C039,MATH 402-A01,Introduction to Modern Algebra,1,10,100,any,1,0,4,T_TTH_1130_1250,R_GUG_220,algebra;number_theory
C040,MATH 407-A01,Linear Optimization,1,10,150,any,1,0,4,T_MWF_1430_1520,R_GUG_220,optimization;linear_algebra
C041,MATH 424-A01,Fundamental Concepts of Analysis,0,2,50,any,0,0,4,T_MWF_1030_1120,R_SMI_102,analysis;real_analysis
C042,MATH 427-A01,Complex Analysis,0,2,50,any,0,0,4,T_TTH_0830_0950,R_SMI_102,complex_analysis;analysis
C043,MATH 441-A01,Topology,0,2,90,any,1,0,4,T_MWF_1530_1620,R_SAV_260,topology;geometry
C044,MATH 444-A01,Geometries I,0,2,50,any,0,0,4,T_F_1530_1720,R_MGH_389,geometry;education
C045,MATH 461-A01,Combinatorial Theory I,0,2,80,any,1,0,4,T_MW_1430_1550,R_MUE_153,combinatorics;graph_theory
C046,MATH 491-A01,Introduction to Stochastic Processes I,0,2,45,any,0,0,4,T_TTH_1300_1420,R_LOW_206,probability;stochastic_processes
C047,MATH 504-A01,Modern Algebra,0,2,35,any,0,0,5,T_TTH_1130_1250,R_LOW_206,algebra;algebraic_geometry
C048,MATH 507-A01,Algebraic Structures,0,2,25,any,0,0,3,T_TTH_1000_1120,R_PDL_C401,algebra;representation_theory
C049,MATH 514-A01,Network Optimization,0,2,20,any,0,0,3,T_TTH_1600_1720,R_PDL_C038,optimization;combinatorics;graph_theory
C050,MATH 521-A01,Advanced Probability,0,2,15,any,0,0,3,T_MW_1000_1120,R_PDL_C401,probability;analysis
C051,MATH 526-A01,Real Analysis,0,2,20,any,0,0,5,T_MWF_1530_1620,R_MEB_248,analysis;real_analysis
C052,MATH 534-A01,Complex Analysis,0,2,25,any,0,0,5,T_F_1530_1720,R_PDL_C401,complex_analysis;analysis
C053,MATH 544-A01,Topology and Geometry of Manifolds,0,2,35,any,0,0,5,T_W_1500_1650,R_MGH_389,topology;geometry
C054,MATH 547-A01,Geometric Structures,0,2,25,any,0,0,3,T_MW_1000_1120,R_PDL_C038,geometry;differential_geometry
C055,MATH 550-D01,Seminar in Geometry,0,2,20,any,0,0,3,T_TTH_1600_1720,R_PDL_C038,geometry;seminar
C056,MATH 580-B01,Departmental Colloquium,0,2,60,any,0,0,2,T_W_1500_1650,R_SMI_102,general_math;seminar
C057,MATH 581-C01,Special Topics: Inverse Problems and PDE,0,2,25,any,0,0,3,T_MWF_1330_1420,R_MEB_248,pde;inverse_problems
C058,MATH 584-A01,Numerical Linear Algebra,0,2,25,any,0,0,5,T_TTH_1130_1250,R_PDL_C038,numerical_analysis;linear_algebra
C059,MATH 590-A01,Seminar in Probability,0,2,40,any,0,0,3,T_MWF_1430_1520,R_SMI_102,probability;seminar
C060,MATH 102-A02,Algebra,0,2,40,any,0,0,5,T_MWF_1330_1420,R_MGH_389,service;algebra;precalculus
C061,MATH 103-A02,Introduction to Elementary Functions,0,2,40,any,0,0,5,T_TTH_1000_1120,R_SMI_102,service;precalculus
C062,MATH 111-A02,Algebra with Applications,1,10,240,any,1,0,5,T_MWF_0830_0920,R_KNE_210,service;algebra;applications
C063,MATH 111-B02,Algebra with Applications,1,10,240,any,1,0,5,T_MWF_0830_0920,R_SMI_120,service;algebra;applications
C064,MATH 112-A02,Business and Economic Calculus,0,2,90,any,1,0,5,T_TTH_0830_0950,R_SAV_260,service;calculus;optimization
C065,MATH 120-A02,Precalculus,1,10,240,any,1,0,5,T_MWF_1030_1120,R_GUG_220,service;precalculus;calculus
C066,MATH 120-B02,Precalculus,1,10,240,any,1,0,5,T_MWF_1030_1120,R_KNE_220,service;precalculus;calculus
C067,MATH 124-A02,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1130_1220,R_GUG_220,service;calculus
C068,MATH 124-B02,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1330_1420,R_GUG_220,service;calculus
C069,MATH 124-C02,Calculus with Analytic Geometry I,1,10,240,any,1,0,5,T_MWF_1330_1420,R_SMI_120,service;calculus
