professor_id,professor_name,min_load,max_load,department,seniority,research_tags,priority_mode
P001,Jarod Alper,0,2,MATH,professor,algebra;algebraic_geometry;geometry,interest_first
P002,Aleksandr Aravkin,0,1,MATH,adjunct,optimization;applied_math,interest_first
P003,Jayadev Athreya,0,2,MATH,professor,dynamical_systems;geometry,interest_first
P004,Ebru Bekyel,0,3,MATH,teaching,number_theory;analysis;calculus,interest_first
P005,Sara Billey,0,2,MATH,professor,combinatorics;algebraic_geometry;representation_theory,interest_first
P006,Kenneth Bube,0,2,MATH,professor,numerical_analysis;pde,interest_first
P007,Krzysztof Burdzy,0,2,MATH,professor,probability,time_first
P008,Charles Camacho,0,3,MATH,teaching,calculus;combinatorics;education;geometry,time_first
P009,Zhenqing Chen,0,2,MATH,professor,probability,time_first
P010,Tony Chiang,0,1,MATH,affiliate,applied_math;combinatorics;data_science;probability;statistics,time_first
P011,David Collingwood,0,2,MATH,professor,representation_theory;genomics,interest_first
P012,Matthew Conroy,0,3,MATH,teaching,number_theory;education;general_math,interest_first
P013,Bernard Deconinck,0,1,MATH,adjunct,applied_math;pde,interest_first
P014,Fanny Dos Reis,0,2,MATH,lecturer,differential_geometry;geometric_measure_theory,time_first
P015,Alexis Drouot,0,2,MATH,professor,analysis;pde,time_first
P016,Maryam Fazel,0,1,MATH,adjunct,optimization,time_first
P017,Giovanni Inchiostro,0,2,MATH,professor,algebra;algebraic_geometry;combinatorics;geometry,time_first
P018,Neal Koblitz,0,2,MATH,professor,cryptography;number_theory,interest_first
P019,Sandor Kovacs,0,2,MATH,professor,algebra;algebraic_geometry,time_first
P020,Gaku Liu,0,2,MATH,professor,combinatorics;geometry,interest_first
P021,Ricky Liu,0,2,MATH,professor,algebraic_combinatorics;combinatorics,interest_first
P022,Andrew Loveless,0,3,MATH,teaching,education;number_theory;calculus,interest_first
P023,Max Lieblich,0,1,MATH,professor,algebraic_geometry,interest_first
P024,Monty McGovern,0,2,MATH,professor,representation_theory,interest_first
P025,Dan Mikulincer,0,2,MATH,professor,data_science;optimization;probability;theoretical_computer_science,time_first
P026,Natalie Naehrig,0,3,MATH,teaching,algebra;education;representation_theory;calculus,time_first
P027,Alexandra Nichifor,0,3,MATH,teaching,algebra;number_theory;calculus,interest_first
P028,Isabella Novik,0,2,MATH,professor,combinatorics;algebraic_combinatorics;geometric_combinatorics,time_first
P029,Jonah Ostroff,0,3,MATH,teaching,combinatorics;calculus,interest_first
P030,John Palmieri,0,2,MATH,professor,algebra;algebraic_topology;representation_theory,interest_first
P031,Gabriel Paternain,0,2,MATH,professor,differential_geometry;dynamical_systems;inverse_problems,interest_first
P032,Patrick Perkins,0,3,MATH,teaching,algebra;combinatorics;education,interest_first
P033,Julia Pevtsova,0,2,MATH,professor,algebra;representation_theory;noncommutative_algebra,interest_first
P034,Elena Pezzoli,0,3,MATH,teaching,logic;computer_science;calculus,time_first
P035,Daniel Pollack,0,1,MATH,professor,differential_geometry;general_relativity;pde,interest_first
P036,Piotr Pstragowski,0,2,MATH,professor,algebraic_topology,time_first
P037,Steffen Rohde,0,2,MATH,professor,complex_analysis;numerical_analysis;probability,interest_first
P038,Thomas Rothvoss,0,2,MATH,professor,optimization;theoretical_computer_science,interest_first
P039,Danny Shi,0,2,MATH,professor,algebraic_topology;topology,interest_first
P040,Farbod Shokrieh,0,2,MATH,professor,algebra;algebraic_geometry;combinatorics;number_theory,time_first
P041,Hart Smith,0,2,MATH,professor,pde;analysis;real_analysis,interest_first
P042,Stefan Steinerberger,0,2,MATH,professor,applied_math;combinatorics;data_science;pde;probability;analysis,interest_first
P043,Zhixu Su,0,3,MATH,teaching,topology;geometry;education,interest_first
P044,Jinwoo Sung,0,2,MATH,professor,complex_analysis;probability,time_first
P045,Rekha Thomas,0,2,MATH,professor,optimization,interest_first
P046,Tatiana Toro,0,2,MATH,professor,geometric_measure_theory;pde;analysis,interest_first
P047,Gunther Uhlmann,0,2,MATH,professor,pde;inverse_problems,interest_first
P048,Cynthia Vinzant,0,2,MATH,professor,optimization;algebraic_geometry,time_first
P049,Bianca Viray,0,2,MATH,professor,algebraic_geometry;number_theory,time_first
P050,Bobby Wilson,0,2,MATH,professor,geometric_measure_theory;pde;analysis,interest_first
P051,Yu Yuan,0,2,MATH,professor,differential_geometry;pde,interest_first
P052,James Zhang,0,2,MATH,professor,algebra,interest_first
P053,Jonathan Zhu,0,2,MATH,professor,differential_geometry;pde,interest_first
P054,General Lecturer Pool,0,6,MATH,lecturer,general_math;service;calculus;precalculus;education,interest_first
P055,Stress Lecturer Pool 001,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P056,Stress Lecturer Pool 002,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,interest_first
P057,Stress Lecturer Pool 003,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,interest_first
P058,Stress Lecturer Pool 004,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P059,Stress Lecturer Pool 005,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,interest_first
P060,Stress Lecturer Pool 006,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P061,Stress Lecturer Pool 007,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P062,Stress Lecturer Pool 008,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P063,Stress Lecturer Pool 009,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,interest_first
P064,Stress Lecturer Pool 010,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P065,Stress Lecturer Pool 011,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P066,Stress Lecturer Pool 012,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P067,Stress Lecturer Pool 013,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P068,Stress Lecturer Pool 014,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,interest_first
P069,Stress Lecturer Pool 015,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
P070,Stress Lecturer Pool 016,0,12,MATH,lecturer_pool,algebra;algebraic_geometry;algebraic_topology;analysis;applications;applied_math;calculus;combinatorics;complex_analysis;differential_equations;differential_geometry;education;general_math;geometry;graph_theory;honors;inverse_problems;linear_algebra;number_theory;numerical_analysis;optimization;pde;precalculus;probability;proofs;real_analysis;seminar;service;stochastic_processes;topology,time_first
