course_id,room_id,suitable,room_score
C001,R_KNE_210,1,3
C001,R_KNE_220,1,3
C001,R_GUG_220,1,3
C001,R_SMI_120,1,3
C001,R_SAV_260,1,3
C001,R_AND_205,1,4
C001,R_OTB_014,1,4
C001,R_MUE_153,1,4
C001,R_SMI_102,1,5
C001,R_MGH_389,1,5
C001,R_LOW_206,1,5
C001,R_MEB_248,1,5
C001,R_PDL_C038,0,0
C001,R_PDL_C401,0,0
C001,R_LOW_113,0,0
C002,R_KNE_210,1,3
C002,R_KNE_220,1,3
C002,R_GUG_220,1,3
C002,R_SMI_120,1,3
C002,R_SAV_260,1,3
C002,R_AND_205,1,4
C002,R_OTB_014,1,4
C002,R_MUE_153,1,4
C002,R_SMI_102,1,5
C002,R_MGH_389,1,5
C002,R_LOW_206,1,5
C002,R_MEB_248,1,5
C002,R_PDL_C038,0,0
C002,R_PDL_C401,0,0
C002,R_LOW_113,0,0
C003,R_KNE_210,1,5
C003,R_KNE_220,1,5
C003,R_GUG_220,1,5
C003,R_SMI_120,1,5
C003,R_SAV_260,0,0
C003,R_AND_205,0,0
C003,R_OTB_014,0,0
C003,R_MUE_153,0,0
C003,R_SMI_102,0,0
C003,R_MGH_389,0,0
C003,R_LOW_206,0,0
C003,R_MEB_248,0,0
C003,R_PDL_C038,0,0
C003,R_PDL_C401,0,0
C003,R_LOW_113,0,0
C004,R_KNE_210,1,5
C004,R_KNE_220,1,5
C004,R_GUG_220,1,5
C004,R_SMI_120,1,5
C004,R_SAV_260,0,0
C004,R_AND_205,0,0
C004,R_OTB_014,0,0
C004,R_MUE_153,0,0
C004,R_SMI_102,0,0
C004,R_MGH_389,0,0
C004,R_LOW_206,0,0
C004,R_MEB_248,0,0
C004,R_PDL_C038,0,0
C004,R_PDL_C401,0,0
C004,R_LOW_113,0,0
C005,R_KNE_210,1,3
C005,R_KNE_220,1,3
C005,R_GUG_220,1,3
C005,R_SMI_120,1,3
C005,R_SAV_260,1,4
C005,R_AND_205,1,4
C005,R_OTB_014,1,5
